player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Auger-Aliassime F.,3.118491088701914,0.21195740072091884,63,0.35,3
Tsitsipas S.,4.2251429508935345,0.20527556104690764,63,0.35,3
Harris L.,2.045617329562064,0.32088767203011287,63,0.35,3
Rublev A.,4.216106007519923,0.19598942309166703,63,0.35,3
Chardy J.,0.34197084708016745,0.7066446191453093,63,0.35,3
Evans D.,2.3566006603850633,0.21208295934827226,63,0.35,3
Dimitrov G.,4.590771514584824,0.2233249493952887,63,0.35,3
Schwartzman D.,1.4487847930211153,0.2414252608178909,63,0.35,3
Jarry N.,3.136279362930783,0.20747225590015125,63,0.35,3
Carreno Busta P.,1.941130516957102,0.4002547330858386,63,0.35,3
Fritz T.,3.887075122495289,0.20359734108363667,63,0.35,3
Rune H.,3.884850748770722,0.19837829941848842,63,0.35,3
Murray A.,2.6994171986844973,0.22927597755232265,63,0.35,3
Zverev A.,4.2160207679375334,0.19735330135834844,63,0.35,3
De Minaur A.,3.9168043370904004,0.20322779520428583,63,0.35,3
Ruud C.,3.5964775130414397,0.21667698301351895,63,0.35,3
Ruusuvuori E.,3.082333783972702,0.21190346424124895,63,0.35,3
Humbert U.,3.4051962274857117,0.20956475903568847,63,0.35,3
Kudla D.,1.312438294900455,0.45679958749170607,63,0.35,3
Mannarino A.,3.0993507524601234,0.18911881541427414,63,0.35,3
Holt B.,-3.457079392456811,2.015543812068549,63,0.35,3
Couacaud E.,0.8027882321626978,0.7397676689860547,63,0.35,3
Cressy M.,1.4444801513912635,0.29191370453947774,63,0.35,3
Zapata Miralles B.,1.6588662508871195,0.22443591339122676,63,0.35,3
Lajovic D.,2.969636620772813,0.2064102455682532,63,0.35,3
Cerundolo J.M.,1.4487336469052703,0.3449332359125528,63,0.35,3
Darderi L.,2.489409692804749,0.27306686226540083,63,0.35,3
Coria F.,1.4011706945795006,0.25366821292509567,63,0.35,3
Barrios M.,1.7662738224755286,0.43856330477759586,63,0.35,3
Garin C.,2.4143733006040264,0.2465580645946942,63,0.35,3
Delbonis F.,3.00220568110992,0.9468542644710745,63,0.35,3
Pella G.,1.7260791138617209,0.30290091392605667,63,0.35,3
Sousa J.,-0.031529804195023034,0.590199823663148,63,0.35,3
Dellien H.,1.010067972866403,0.3296645833547839,63,0.35,3
Baez S.,2.7737322710832766,0.20177252800323112,63,0.35,3
Ramos-Vinolas A.,1.7625648169807442,0.24171001405928952,63,0.35,3
Sock J.,1.7288296278395894,0.6082688071873921,63,0.35,3
Thompson J.,2.9558651814910113,0.20821709412004355,63,0.35,3
Albot R.,1.6449461952097186,0.3034016174043245,63,0.35,3
Wu Y.,2.0955300094546705,0.2827352480666459,63,0.35,3
Isner J.,2.2115547551558525,0.3237012595080053,63,0.35,3
Gomez E.,1.1517836741282805,0.5632761149499341,63,0.35,3
Altmaier D.,1.8171519551721556,0.2179804596959926,63,0.35,3
Otte O.,1.8629919056836373,0.35285261916127003,63,0.35,3
Fils A.,3.346673131398328,0.21507144059468097,63,0.35,3
Basilashvili N.,0.16866650999584934,0.6764158160643701,63,0.35,3
Rinderknech A.,2.160671888567446,0.21775211727557087,63,0.35,3
Coric B.,2.4290688259609965,0.2198318139264361,63,0.35,3
Cachin P.,1.6056528792161076,0.22146016814639774,63,0.35,3
Munar J.,2.3036962862976824,0.20764241234250616,63,0.35,3
Ugo Carabelli C.,0.7052838473481784,0.53178958952369,63,0.35,3
Diaz Acosta F.,1.8385331273347096,0.3016678982503377,63,0.35,3
Varillas J. P.,2.101032921448266,0.45595784586789184,63,0.35,3
Thiem D.,1.954072528569855,0.23538731683539132,63,0.35,3
Alcaraz C.,5.419453394475825,0.22806848081343067,63,0.35,3
Musetti L.,3.3354766834807448,0.20369405641245752,63,0.35,3
Borges N.,1.7520456614009878,0.2415388944812863,63,0.35,3
Vukic A.,2.0600143878780375,0.21818284327382054,63,0.35,3
Pecotic M.,2.2618203209967676,0.8859060386706044,63,0.35,3
Wawrinka S.,3.04419954929168,0.21068490427694364,63,0.35,3
Brouwer G.,2.3227061276962333,0.3233845326644364,63,0.35,3
O Connell C.,2.403623912004412,0.20451520240215543,63,0.35,3
Broady L.,1.6881559861743087,0.36064123312918495,63,0.35,3
Muller A.,2.166841579259329,0.2471521446381798,63,0.35,3
Bublik A.,2.720695731041439,0.21007269391940014,63,0.35,3
Ritschard A.,1.5116538094660488,0.6413918824154659,63,0.35,3
Riedi L.,2.38233949787393,0.6154512591556104,63,0.35,3
Monteiro T.,1.900757626840104,0.27225987377126876,63,0.35,3
Galan D.E.,1.2255529685479851,0.2349329119179371,63,0.35,3
Varillas J.P.,2.002664785073858,0.27075217894218245,63,0.35,3
Fognini F.,2.628058817799611,0.25281014897835247,63,0.35,3
Lopez F.,1.6164664231503274,0.5409849863731038,63,0.35,3
Berrettini M.,3.4723422002150697,0.2558796695698884,63,0.35,3
Ymer E.,1.0839272020905206,0.39289438367620155,63,0.35,3
Nakashima B.,2.9244702900997126,0.21265757758559,63,0.35,3
Berrettini J.,-2.4903205231604337,2.4781335322787887,63,0.35,3
Kotov P.,2.3769690351662978,0.21928974171527638,63,0.35,3
Hanfmann Y.,2.95179131611043,0.19936969217936698,63,0.35,3
Bonadio R.,1.2441633562239642,0.8246900215323488,63,0.35,3
Ivashka I.,1.8787595920112334,0.27950430769580287,63,0.35,3
Tabilo A.,2.7061594377842093,0.2902967617425861,63,0.35,3
Wu T.L.,1.468152289319036,0.7656282153130219,63,0.35,3
Struff J.L.,3.248460298176067,0.22578649830280134,63,0.35,3
Bagnis F.,1.0089519474318707,0.4216827664759571,63,0.35,3
Nava E.,1.0476000659685554,0.5099646977589967,63,0.35,3
Kovacevic A.,1.266900743457813,0.2778605067329674,63,0.35,3
Van Assche L.,1.3558103592918052,0.25197555091889395,63,0.35,3
Rodionov J.,1.8126033991208417,0.38497477696226023,63,0.35,3
Johnson S.,0.4100005750861213,0.714033505796273,63,0.35,3
Machac T.,3.2147112663689508,0.26582575943001624,63,0.35,3
Purcell M.,2.1882120514220107,0.2190293817129601,63,0.35,3
Gaston H.,1.0401002151069365,0.2965184222877089,63,0.35,3
Passaro F.,0.6199039336253451,0.5100476659500157,63,0.35,3
Vavassori A.,2.2951504796861437,0.39815637579489704,63,0.35,3
Kuzmanov D.,1.518764570210476,0.873069787769677,63,0.35,3
Gakhov I.,-2.0728438610531774,2.7303913182034836,63,0.35,3
Nardi L.,0.4829791914645391,0.41750287583885015,63,0.35,3
Kovalik J.,2.509473018985549,0.5248385770349919,63,0.35,3
Shevchenko A.,2.7673278510398895,0.20961422207274324,63,0.35,3
Arnaldi M.,2.9062074725399367,0.21314062223604324,63,0.35,3
Shelbayh A.,0.7230214627968972,0.49491994019305113,63,0.35,3
Dzumhur D.,0.9820680153796547,0.6339290682760634,63,0.35,3
Grenier H.,1.2122711448200965,0.4558612646626102,63,0.35,3
Zhang Zh.,2.5481550876204317,0.20298406696884133,63,0.35,3
Marozsan F.,2.6511597379916045,0.2241260682848678,63,0.35,3
Llamas Ruiz P.,2.7208482354453007,0.6132490626624326,63,0.35,3
Ofner S.,2.3236641857379587,0.22566965172769343,63,0.35,3
Pouille L.,2.641317501095043,0.5461681017942255,63,0.35,3
Tirante T.A.,2.6017812889279686,0.4665388965590315,63,0.35,3
Olivieri G.,3.145634818938386,0.7925202474043302,63,0.35,3
Zeppieri G.,2.3048593015905006,0.45348819893630826,63,0.35,3
Seyboth Wild T.,2.5171483743012035,0.2872741480509536,63,0.35,3
Monfils G.,3.4793998955465275,0.2320012471948514,63,0.35,3
Raonic M.,3.228710513876877,0.3973121037187712,63,0.35,3
Peniston R.,1.2624099388834815,0.638208900100237,63,0.35,3
Choinski J.,1.6168505298499576,0.49869067513419846,63,0.35,3
Stricker D.,2.501046700181275,0.34166850982985064,63,0.35,3
Mayot H.,1.4869233070216858,0.42526811226765215,63,0.35,3
Vesely J.,1.4644824096352431,0.5178456192105848,63,0.35,3
Misolic F.,2.0916450457498774,0.4533061127422521,63,0.35,3
