"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Cerundolo F.","Ofner S.",1.36,3.2,88.86,11.14,"Cerundolo F.",TRUE,"Cerundolo F.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Kecmanovic M.","Nishioka Y.",2,1.8,19.22,80.78,"Nishioka Y.",FALSE,"Nishioka Y.",FALSE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Etcheverry T.","Mpetshi G.",1.62,2.3,56.58,43.42,"Etcheverry T.",TRUE,"Etcheverry T.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Muller A.","Walton A.",1.5,2.63,91.28,8.72,"Muller A.",TRUE,"Muller A.",TRUE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Shevchenko A.","Koepfer D.",2.38,1.57,79.01,20.99,"Shevchenko A.",TRUE,"Koepfer D.",FALSE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Hijikata R.","Davidovich Fokina A.",3.4,1.33,3.07,96.93,"Davidovich Fokina A.",FALSE,"Davidovich Fokina A.",FALSE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Nakashima B.","Rune H.",2.5,1.53,0.09,99.91,"Rune H.",FALSE,"Rune H.",FALSE,FALSE,51
2024-08-26,51,"US Open","1st Round","Hard","Outdoor","Baez S.","Darderi L.",1.73,2.1,63.51,36.49,"Baez S.",TRUE,"Baez S.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Tiafoe F.","Kovacevic A.",1.14,5.5,99.79,0.21,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Griekspoor T.","Nagal S.",1.2,4.5,99.04,0.96,"Griekspoor T.",TRUE,"Griekspoor T.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Goffin D.","Tabilo A.",2.2,1.67,39.26,60.74,"Tabilo A.",FALSE,"Tabilo A.",FALSE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Navone M.","Altmaier D.",2.38,1.57,12.41,87.59,"Altmaier D.",FALSE,"Altmaier D.",FALSE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Kokkinakis T.","Tsitsipas S.",3.2,1.36,7.3,92.7,"Tsitsipas S.",FALSE,"Tsitsipas S.",FALSE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Mensik J.","Auger-Aliassime F.",4,1.25,43.59,56.41,"Auger-Aliassime F.",FALSE,"Auger-Aliassime F.",FALSE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Machac T.","Fognini F.",1.2,4.5,64.7,35.3,"Machac T.",TRUE,"Machac T.",TRUE,FALSE,51
2024-08-27,51,"US Open","1st Round","Hard","Outdoor","Mannarino A.","Coric B.",3.75,1.29,92.74,7.26,"Mannarino A.",TRUE,"Coric B.",FALSE,FALSE,51
