player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Cilic M.,1.9200781334651036,0.6126710128686051,21,0.35,3
Davidovich Fokina A.,3.287779591259134,0.19226844714996608,21,0.35,3
Paul T.,3.9190294648835944,0.1722522629366539,21,0.35,3
Millman J.,2.5382627395049493,0.7443288265469874,21,0.35,3
Haase R.,2.7510293760077267,0.8737006026507066,21,0.35,3
Huesler M.A.,1.0723934850730334,0.3063472540590646,21,0.35,3
Kwon S.W.,2.6577130339658845,0.4021966846149064,21,0.35,3
Ymer M.,2.1292933098930886,0.2863027511835476,21,0.35,3
Kubler J.,2.076760127607341,0.2835857100017634,21,0.35,3
Lestienne C.,0.9477504461273677,0.29959801221449694,21,0.35,3
Goffin D.,2.2817727487667145,0.2854344243941534,21,0.35,3
Brooksby J.,3.9805376740555896,0.5108724902107298,21,0.35,3
Gasquet R.,1.660162758991362,0.251923148909235,21,0.35,3
Wolf J.J.,2.582314693504751,0.20667860003411542,21,0.35,3
Barrere G.,2.6538266063875757,0.22387350415002222,21,0.35,3
Eubanks C.,2.458687321593008,0.2185725941138866,21,0.35,3
Lehecka J.,3.4156804345687037,0.17864672692859054,21,0.35,3
Shelton B.,3.18280356068524,0.1899956118617589,21,0.35,3
Norrie C.,3.452611416487318,0.19037705139432068,21,0.35,3
Moutet C.,1.8987062403797668,0.2744718562074463,21,0.35,3
Watanuki Y.,2.2544210792078605,0.3592556364617826,21,0.35,3
Etcheverry T.,3.0746511346577545,0.19328134203712258,21,0.35,3
Cerundolo F.,3.1261560074891204,0.17886432043460262,21,0.35,3
Shang J.,2.465372293336317,0.29234774910994993,21,0.35,3
Hurkacz H.,4.173666887540868,0.18934160165593034,21,0.35,3
Tiafoe F.,3.3338556759937448,0.18519607586563638,21,0.35,3
Nadal R.,3.4420785857568337,0.5704946483171648,21,0.35,3
Daniel T.,2.0958117142900208,0.23837523122157475,21,0.35,3
Sonego L.,2.8145702969755826,0.198611581617895,21,0.35,3
Svrcina D.,1.7293186809669303,0.6339005556395148,21,0.35,3
Fucsovics M.,3.0807264691116525,0.22139727221258224,21,0.35,3
Molcan A.,2.306945288025928,0.27825727867950745,21,0.35,3
Hijikata R.,2.5941680932648064,0.2392238727913094,21,0.35,3
Auger-Aliassime F.,2.962563982146716,0.20424085103914993,21,0.35,3
Tsitsipas S.,4.238170771142777,0.1842628044287568,21,0.35,3
Harris L.,1.9901679237728953,0.32377594956065775,21,0.35,3
Rublev A.,4.427674259290019,0.16637873782858165,21,0.35,3
Chardy J.,0.4785183043518935,0.7180294281832263,21,0.35,3
Evans D.,2.690015001464294,0.21718922249532185,21,0.35,3
Dimitrov G.,4.675131414302199,0.17994758472979092,21,0.35,3
Schwartzman D.,1.7082598381703646,0.2381459341031714,21,0.35,3
Jarry N.,3.7789235532168846,0.19425191915853052,21,0.35,3
Carreno Busta P.,1.3044076950541301,0.7195875744650828,21,0.35,3
Fritz T.,4.267073838267807,0.1860898385217328,21,0.35,3
Rune H.,3.770251243871751,0.17812212561751542,21,0.35,3
Murray A.,2.86508350036165,0.22620823845292326,21,0.35,3
Zverev A.,4.4183956776645745,0.1659197877946682,21,0.35,3
De Minaur A.,4.111282725617852,0.17105263867519147,21,0.35,3
Ruud C.,3.8082323505887126,0.18446274308919092,21,0.35,3
Ruusuvuori E.,3.2899157313178855,0.1993748054140968,21,0.35,3
Humbert U.,3.7957583213106836,0.1837618068699505,21,0.35,3
Kudla D.,1.3787668855132424,0.4556685186663603,21,0.35,3
Mannarino A.,3.321033684237528,0.18228139257043902,21,0.35,3
Holt B.,-3.2942280365865066,2.0724314180271874,21,0.35,3
Couacaud E.,1.155982294324298,0.7374203761726552,21,0.35,3
Cressy M.,1.597750415121107,0.29315846074200647,21,0.35,3
Zapata Miralles B.,1.6693891730851513,0.22668356930295042,21,0.35,3
Lajovic D.,2.9409761039750224,0.19568253009863318,21,0.35,3
Cerundolo J.M.,1.603175321914459,0.3383457993767773,21,0.35,3
Darderi L.,3.197389997724125,0.3632164979861859,21,0.35,3
Coria F.,2.4345516415014377,0.2493842048532112,21,0.35,3
Barrios M.,1.7387102735215445,0.4132728430784153,21,0.35,3
Garin C.,2.406505598917719,0.25832981551604234,21,0.35,3
